(21152591,21417818,546,237)
(21129051,21417818,546,237)
(21128686,21152125,545,101)
(21153060,21418425,545,98)
(21129520,21418425,545,98)
(21129421,21418172,545,252)
(21152961,21418242,545,182)
(22398945,24035048,2373,2317)
(22398945,24030291,2373,2317)
(22513305,22523821,2384,1405)
(20789154,21662545,544,512)
(20765615,21662545,544,512)
(20812956,21662673,545,101)
(20789415,21662673,545,101)
(20789415,20812855,545,101)
(20765876,21662673,545,101)
(20765876,20812855,545,101)
(20765876,20789314,545,101)
(20812181,21662307,545,237)
(20765101,21662307,545,237)
(20788641,21662380,544,164)
(24132236,24139998,2385,1777)
